timestamp,temperature,humidity,soil_moisture,soil_temp,soil_ec,soil_ph,npk_moisture,npk_temp,npk_ec,npk_ph,N,P,K,resistive_raw,resistive_voltage,resistive_moisture
2026-08-13 00:01:06,26.20,78.00,,,,,,,,,,,,676.00,3.30,87.70
2026-08-13 00:22:56,,,,,,,,,,,,,,684.00,3.34,89.00
2026-08-13 00:31:06,26.20,78.00,,,,,,,,,,,,678.00,3.31,88.00
2026-08-13 00:52:56,,,,,,,,,,,,,,677.00,3.31,87.80
2026-08-13 01:01:06,26.20,78.00,,,,,,,,,,,,671.00,3.28,86.80
2026-08-13 01:22:56,,,,,,,,,,,,,,676.00,3.30,87.70
2026-08-13 01:31:06,26.20,78.00,,,,,,,,,,,,667.00,3.26,86.20
2026-08-13 01:52:56,,,,,,,,,,,,,,679.00,3.32,88.20
2026-08-13 02:01:06,26.20,78.00,,,,,,,,,,,,680.00,3.32,88.30
2026-08-13 02:22:56,,,,,,,,,,,,,,671.00,3.28,86.80
2026-08-13 02:31:06,26.20,78.00,,,,,,,,,,,,670.00,3.28,86.70
2026-08-13 02:52:56,,,,,,,,,,,,,,669.00,3.27,86.50
2026-08-13 03:01:06,26.20,78.00,,,,,,,,,,,,673.00,3.29,87.20
2026-08-13 03:22:56,,,,,,,,,,,,,,678.00,3.31,88.00
2026-08-13 03:31:06,26.20,78.00,,,,,,,,,,,,685.00,3.35,89.20
2026-08-13 03:52:56,,,,,,,,,,,,,,673.00,3.29,87.20
2026-08-13 04:01:06,26.20,78.00,,,,,,,,,,,,678.00,3.31,88.00
2026-08-13 04:22:56,,,,,,,,,,,,,,679.00,3.32,88.20
2026-08-13 04:31:06,26.20,78.00,,,,,,,,,,,,678.00,3.31,88.00
2026-08-13 04:52:56,,,,,,,,,,,,,,669.00,3.27,86.50
2026-08-13 05:01:06,26.20,78.00,,,,,,,,,,,,674.00,3.29,87.30
2026-08-13 05:22:56,,,,,,,,,,,,,,670.00,3.28,86.70
2026-08-13 05:31:06,26.20,78.00,,,,,,,,,,,,663.00,3.24,85.50
2026-08-13 05:52:56,,,,,,,,,,,,,,668.00,3.27,86.30
2026-08-13 06:01:06,26.20,78.00,,,,,,,,,,,,679.00,3.32,88.20
2026-08-13 06:22:56,,,,,,,,,,,,,,673.00,3.29,87.20
2026-08-13 06:31:06,26.20,78.00,,,,,,,,,,,,673.00,3.29,87.20
2026-08-13 06:52:56,,,,,,,,,,,,,,677.00,3.31,87.80
2026-08-13 07:01:06,26.20,78.00,,,,,,,,,,,,675.00,3.30,87.50
2026-08-13 07:22:56,,,,,,,,,,,,,,675.00,3.30,87.50
2026-08-13 07:31:06,26.20,78.00,,,,,,,,,,,,671.00,3.28,86.80
2026-08-13 07:52:56,,,,,,,,,,,,,,678.00,3.31,88.00
2026-08-13 08:01:06,26.20,78.00,,,,,,,,,,,,676.00,3.30,87.70
2026-08-13 08:22:56,,,,,,,,,,,,,,674.00,3.29,87.30
2026-08-13 08:31:06,26.20,78.00,,,,,,,,,,,,680.00,3.32,88.30
2026-08-13 08:52:56,,,,,,,,,,,,,,665.00,3.25,85.80
2026-08-13 09:01:06,26.20,78.00,,,,,,,,,,,,671.00,3.28,86.80
2026-08-13 09:22:56,,,,,,,,,,,,,,679.00,3.32,88.20
2026-08-13 09:31:06,26.20,78.00,,,,,,,,,,,,678.00,3.31,88.00
2026-08-13 09:52:56,,,,,,,,,,,,,,670.00,3.28,86.70
2026-08-13 10:01:06,26.20,78.00,,,,,,,,,,,,678.00,3.31,88.00
2026-08-13 10:22:56,,,,,,,,,,,,,,690.00,3.37,90.00
2026-08-13 10:31:06,26.20,78.00,,,,,,,,,,,,681.00,3.33,88.50
2026-08-13 10:52:56,,,,,,,,,,,,,,682.00,3.33,88.70
2026-08-13 11:01:06,26.20,78.00,,,,,,,,,,,,682.00,3.33,88.70
2026-08-13 11:22:56,,,,,,,,,,,,,,677.00,3.31,87.80
2026-08-13 11:31:06,26.20,78.00,,,,,,,,,,,,690.00,3.37,90.00
2026-08-13 11:52:56,,,,,,,,,,,,,,687.00,3.36,89.50
2026-08-13 12:01:06,26.20,78.00,,,,,,,,,,,,680.00,3.32,88.30
2026-08-13 12:22:56,,,,,,,,,,,,,,672.00,3.28,87.00
2026-08-13 12:31:06,26.20,78.00,,,,,,,,,,,,679.00,3.32,88.20
2026-08-13 12:52:56,,,,,,,,,,,,,,681.00,3.33,88.50
2026-08-13 13:01:06,26.20,78.00,,,,,,,,,,,,690.00,3.37,90.00
2026-08-13 13:22:56,,,,,,,,,,,,,,686.00,3.35,89.30
2026-08-13 13:31:06,26.20,78.00,,,,,,,,,,,,691.00,3.38,90.20
2026-08-13 13:52:56,,,,,,,,,,,,,,672.00,3.28,87.00
2026-08-13 14:01:06,26.20,78.00,,,,,,,,,,,,678.00,3.31,88.00
2026-08-13 14:22:56,,,,,,,,,,,,,,681.00,3.33,88.50
2026-08-13 14:31:06,26.20,78.00,,,,,,,,,,,,676.00,3.30,87.70
2026-08-13 14:52:56,,,,,,,,,,,,,,676.00,3.30,87.70
2026-08-13 15:01:06,26.20,78.00,,,,,,,,,,,,676.00,3.30,87.70
2026-08-13 15:22:56,,,,,,,,,,,,,,687.00,3.36,89.50
2026-08-13 15:31:06,26.20,78.00,,,,,,,,,,,,679.00,3.32,88.20
2026-08-13 15:52:56,,,,,,,,,,,,,,670.00,3.28,86.70
2026-08-13 16:01:06,26.20,78.00,,,,,,,,,,,,672.00,3.28,87.00
2026-08-13 16:22:56,,,,,,,,,,,,,,676.00,3.30,87.70
2026-08-13 16:31:06,26.20,78.00,,,,,,,,,,,,670.00,3.28,86.70
2026-08-13 16:52:56,,,,,,,,,,,,,,687.00,3.36,89.50
